latitude,longitude
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.33,144.36
-38.33,144.36
-38.33,144.36
-38.33,144.36
-38.33,144.36
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.4,142.47
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.35,144.32
-38.33,144.36
-38.33,144.36
-38.33,144.36
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.41,144.24
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-37.51,149.98
-37.51,149.98
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
